Rnk,Player,Team,Gms,CLUTCH,SH,DF,FT,TO,REB,AST,STL,BLK
1,AJ Griffin,ATL,37,1.23,1.48,0.05,0.01,-0.31,0.33,0.31,0.16,0.09
2,Trae Young,ATL,38,1.05,0.55,1.13,0.67,-1.29,0.31,3.11,0.12,0.01
3,De'Andre Hunter,ATL,35,0.93,0.87,0.29,-0.03,-0.19,0.45,0.29,0.24,0.03
4,Onyeka Okongwu,ATL,41,0.83,1.06,0.16,-0.03,-0.35,1.13,0.36,0.27,0.39
5,John Collins,ATL,34,0.69,0.78,0.12,0.04,-0.25,0.84,0.49,0.24,0.34
6,Dejounte Murray,ATL,37,0.65,0.29,0.75,0.22,-0.61,0.61,1.86,0.74,0.14
7,Aaron Holiday,ATL,38,0.44,0.56,0.05,-0.01,-0.16,0.14,0.36,0.14,0.02
8,Bogdan Bogdanovic,ATL,19,0.32,0.50,0.03,0.00,-0.20,0.20,0.55,0.15,0.03
9,Clint Capela,ATL,25,0.20,0.36,0.06,-0.02,-0.20,0.91,0.08,0.14,0.17
10,Frank Kaminsky,ATL,21,0.19,0.21,0.01,0.01,-0.03,0.03,0.07,0.05,0.00
11,Justin Holiday,ATL,26,0.19,0.31,0.00,0.00,-0.12,0.06,0.28,0.05,0.02
12,Jalen Johnson,ATL,41,0.09,0.09,0.07,0.00,-0.07,0.24,1.10,0.03,0.04
13,Jarrett Culver,ATL,9,0.04,0.02,0.03,0.01,-0.02,0.08,0.03,0.02,0.00
14,Vit Krejci,ATL,17,0.04,0.04,0.00,0.00,0.00,0.02,0.09,0.00,0.00
15,Tyrese Martin,ATL,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Derrick Favors,ATL,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Trent Forrest,ATL,15,-0.06,0.01,0.01,-0.00,-0.07,0.08,0.08,0.03,0.04
1,Kevin Durant,BKN,39,1.94,1.88,0.76,0.17,-0.86,0.62,1.01,0.21,0.26
2,Kyrie Irving,BKN,32,1.11,1.21,0.43,0.10,-0.62,0.42,2.13,0.16,0.08
3,Yuta Watanabe,BKN,28,0.70,0.88,0.09,-0.03,-0.24,0.36,0.59,0.21,0.02
4,Royce O'Neale,BKN,39,0.69,1.23,0.11,-0.02,-0.62,0.62,1.70,0.15,0.18
5,Nic Claxton,BKN,39,0.55,0.84,0.21,-0.16,-0.34,0.94,0.48,0.27,0.46
6,Seth Curry,BKN,30,0.53,0.66,0.09,0.02,-0.24,0.14,0.45,0.22,0.07
7,Cam Thomas,BKN,26,0.44,0.27,0.18,0.06,-0.07,0.10,0.13,0.08,0.02
8,Patty Mills,BKN,26,0.38,0.38,0.01,0.01,-0.02,0.07,0.20,0.02,0.00
9,T.J. Warren,BKN,18,0.32,0.27,0.10,-0.00,-0.05,0.06,0.14,0.07,0.03
10,Joe Harris,BKN,34,0.13,0.22,0.05,-0.01,-0.12,0.29,0.69,0.12,0.06
11,Day'Ron Sharpe,BKN,20,0.08,0.09,0.03,-0.02,-0.02,0.06,0.05,0.00,0.04
12,Markieff Morris,BKN,18,0.05,0.09,0.02,0.00,-0.07,0.07,0.03,0.02,0.03
