TEAM_NAME,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ATL,18.39,18.38,19.59,18.1,19.56,18.8,20.15,24.28,23.6,19.76,19.07,19.52
BKN,19.8,18.82,22.33,19.55,18.41,21.48,21.04,22,21.5,19.54,20.83,22.53
BOS,20.76,21.74,21.65,21.38,22.67,21.24,20.17,20.83,22.06,20.79,19.1,19.33
CHA,19.42,19.5,18.68,18.76,18.52,16.91,17.87,19.35,19.26,18.53,20.55,21.34
CHI,17.85,20.51,19.79,18.66,19.29,18.33,19.68,20.74,22.28,19.19,19.26,20
CLE,20.23,21.5,20.4,18.66,20.57,18.46,18.85,20.28,18.52,18.54,17.7,19.08
DAL,19.36,21.27,20.44,20.5,20.17,19.51,19.74,20.66,19.84,19.93,20.2,21.41
DEN,20.55,21.09,23.61,23.41,21.48,19.56,19.07,20.52,20.76,19.43,20.72,19.83
DET,19.97,20.09,21.04,19.39,19.54,18.44,19.02,22.77,20.14,20.92,22.46,23.02
GSW,21.82,21.83,22.38,20.32,21.33,20.02,20.33,22.16,20.68,21.68,21.52,22.91
HOU,20.94,20.59,21.22,22.67,22.57,20.41,20.07,22.55,22.26,20.01,21.37,20.96
IND,22.21,20.75,20.89,21.49,20.26,19.93,19.12,19.78,20.01,20.49,20.82,21.73
LAC,22.35,22.05,22.37,22.21,22.16,20.54,20.62,23.98,22.66,19.64,19.15,20.03
LAL,17.74,18.65,20.17,21.49,20.62,21.24,21.6,21.38,21.21,19.56,20.79,18.88
MEM,20.5,20.63,19.48,19.49,22.33,22.88,23.78,22.48,21.84,19.38,20.4,20.88
MIA,20.05,19.01,19.88,20.29,18.95,20.99,20.43,21.34,20.94,19.25,21.18,19.31
MIL,19.98,19.5,21.46,22.87,21.44,20.83,21.87,20.11,20.21,17.72,18.68,19
MIN,18.83,18.8,18.68,19.44,21.02,20.33,18.65,20.82,21.75,21.25,22.7,22.8
NOP,20.85,20.68,23.11,19.02,21.3,18.54,19.52,21.41,21.6,18.39,20.18,21.21
NYK,21.97,20.89,22.67,21.93,20.28,20.84,21.04,21.17,22.92,20.85,20.83,21.14
OKC,21.32,21.18,23.66,23.12,21.1,21.38,20.89,23.07,19.51,18.47,18.44,21.71
ORL,18.53,20.07,21.02,21.35,21.28,19.8,19.62,19.09,18.7,17.58,20.29,20.9
PHI,18.11,18.77,23.05,22,22,22.29,22.54,21.78,21.4,20.83,19.9,20.89
PHX,19.44,21.34,22.71,22.05,23.34,25.62,22.85,24.44,22.48,19.64,20.79,21.53
POR,19.53,18.79,19.74,18.68,22.06,21.66,19.8,20.8,22.51,19.32,21.51,21.07
SAC,20.14,21.61,23.27,21.28,21.07,20.76,20.2,21.8,22.57,19.81,19.4,20.43
SAS,17.71,17.7,18.51,19.22,17.83,18.44,17.32,18.48,19.82,18.14,18.33,20.29
TOR,23.8,23.05,23.57,21.41,20.39,21.46,22.27,21.7,22.39,21.86,20,21.14
UTH,22.24,21.79,20.89,19.61,20.72,19.24,20.02,21.67,20.94,19.21,19.7,20.9
WAS,21.95,20.88,20.71,21.17,21.4,21.96,21.89,21.39,23.31,22.24,19.61,19.59
