PLAYER,2022/23,2023/24,2024/25,2025/26,2026/27,TEAM
Trae Young,"$37,096,500","$40,064,220","$43,031,940","$45,999,660","$48,967,380",ATL
John Collins,"$23,500,000","$25,340,000","$26,580,000","$26,580,000",$0,ATL
Clint Capela,"$18,706,896","$21,116,000","$22,765,280",$0,$0,ATL
Bogdan Bogdanovic,"$18,000,000","$18,000,000",$0,$0,$0,ATL
Dejounte Murray,"$16,571,120","$17,714,000",$0,$0,$0,ATL
De'Andre Hunter,"$9,835,881","$12,973,527",$0,$0,$0,ATL
Onyeka Okongwu,"$6,395,160","$8,109,063","$10,817,490",$0,$0,ATL
Justin Holiday,"$6,292,440",$0,$0,$0,$0,ATL
AJ Griffin,"$3,536,160","$3,712,920","$3,889,920","$5,967,137","$8,383,828",ATL
Jalen Johnson,"$2,792,640","$2,925,360","$4,510,905","$6,464,127",$0,ATL
Frank Kaminsky,"$2,463,490",$0,$0,$0,$0,ATL
Aaron Holiday,"$1,968,175",$0,$0,$0,$0,ATL
Chris Silva,"$1,902,133",$0,$0,$0,$0,ATL
Armoni Brooks,"$1,836,090",$0,$0,$0,$0,ATL
Malik Ellison,"$1,637,966",$0,$0,$0,$0,ATL
Vit Krejci,"$1,563,518","$1,836,096","$1,988,598",$0,$0,ATL
Tyson Etienne,"$1,017,781",$0,$0,$0,$0,ATL
Tyrese Martin,"$1,017,781","$1,719,864",$0,$0,$0,ATL
Jarrett Culver,"$508,891","$1,761,752",$0,$0,$0,ATL
Jayson Tatum,"$30,351,780","$32,600,060","$34,848,340","$37,096,620",$0,BOS
Jaylen Brown,"$28,741,071","$30,723,214",$0,$0,$0,BOS
Al Horford,"$26,500,000",$0,$0,$0,$0,BOS
Malcolm Brogdon,"$22,600,000","$22,500,000","$22,500,000",$0,$0,BOS
Marcus Smart,"$17,207,142","$18,583,713","$19,960,285","$21,336,856",$0,BOS
Derrick White,"$16,892,857","$18,107,143","$19,321,429",$0,$0,BOS
Robert Williams,"$10,937,502","$11,794,644","$12,651,786","$13,508,928",$0,BOS
Danilo Gallinari,"$6,479,000","$6,802,950",$0,$0,$0,BOS
Grant Williams,"$4,306,281","$6,235,494",$0,$0,$0,BOS
Blake Griffin,"$2,905,851",$0,$0,$0,$0,BOS
Noah Vonleh,"$2,463,490",$0,$0,$0,$0,BOS
Jake Layman,"$2,298,385",$0,$0,$0,$0,BOS
Payton Pritchard,"$2,239,200","$4,037,277","$5,959,021",$0,$0,BOS
Justin Jackson,"$2,133,278",$0,$0,$0,$0,BOS
Luke Kornet,"$2,133,278","$2,413,304",$0,$0,$0,BOS
Luka Samanic,"$1,902,133",$0,$0,$0,$0,BOS
Brodric Thomas,"$1,836,090",$0,$0,$0,$0,BOS
Sam Hauser,"$1,637,966","$1,927,896","$2,092,344",$0,$0,BOS
JD Davison,"$508,891","$1,761,752",$0,$0,$0,BOS
Mfiondu Kabengele,"$508,891","$1,761,752",$0,$0,$0,BOS
Demetrius Jackson,"$92,857","$92,857",$0,$0,$0,BOS
Kevin Durant,"$44,119,845","$47,649,433","$51,179,020","$54,708,608",$0,BKN
Kyrie Irving,"$36,934,550",$0,$0,$0,$0,BKN
Ben Simmons,"$35,448,672","$37,893,408","$40,338,144",$0,$0,BKN
Joe Harris,"$18,642,857","$19,928,571",$0,$0,$0,BKN
Royce O'Neale,"$9,200,000","$9,500,000",$0,$0,$0,BKN
Nicolas Claxton,"$8,500,000","$8,750,000",$0,$0,$0,BKN
Seth Curry,"$8,496,653",$0,$0,$0,$0,BKN
Patrick Mills,"$6,479,000","$6,802,950",$0,$0,$0,BKN
Jevon Carter,"$3,925,000",$0,$0,$0,$0,BKN
Markieff Morris,"$2,905,851",$0,$0,$0,$0,BKN
TJ Warren,"$2,628,597",$0,$0,$0,$0,BKN
Cam Thomas,"$2,138,160","$2,240,160","$4,041,249","$5,993,172",$0,BKN
Day'Ron Sharpe,"$2,109,480","$2,210,040","$3,989,122","$5,983,683",$0,BKN
Edmond Sumner,"$1,968,175","$2,239,943",$0,$0,$0,BKN
Yuta Watanabe,"$1,968,175",$0,$0,$0,$0,BKN
Chris Chiozza,"$1,902,133",$0,$0,$0,$0,BKN
Kessler Edwards,"$1,637,966","$1,927,896",$0,$0,$0,BKN
RaiQuan Gray,"$1,017,781",$0,$0,$0,$0,BKN
David Duke,"$508,891","$1,761,752",$0,$0,$0,BKN
Alondes Williams,"$508,891","$1,761,752",$0,$0,$0,BKN
Gordon Hayward,"$30,075,000","$31,500,000",$0,$0,$0,CHA
Terry Rozier,"$21,486,316","$23,205,221","$24,924,126","$26,643,031",$0,CHA
Kelly Oubre,"$12,600,000",$0,$0,$0,$0,CHA
Mason Plumlee,"$9,080,417",$0,$0,$0,$0,CHA
Nicolas Batum,"$8,856,969",$0,$0,$0,$0,CHA
LaMelo Ball,"$8,623,920","$10,900,635","$14,301,633",$0,$0,CHA
Cody Martin,"$7,000,000","$7,560,000","$8,120,000","$8,680,000",$0,CHA
PJ Washington,"$5,808,435","$7,992,407",$0,$0,$0,CHA
James Bouknight,"$4,362,240","$4,570,080","$6,064,496","$8,302,295",$0,CHA
Mark Williams,"$3,722,040","$3,908,160","$4,094,280","$6,276,531","$8,774,591",CHA
Kai Jones,"$2,909,040","$3,047,880","$4,693,735","$6,693,266",$0,CHA
Dennis Smith,"$2,133,278",$0,$0,$0,$0,CHA
Jalen McDaniels,"$1,930,681",$0,$0,$0,$0,CHA
Nick Richards,"$1,782,621",$0,$0,$0,$0,CHA
Arnoldas Kulboka,"$1,576,305",$0,$0,$0,$0,CHA
Scottie Lewis,"$1,576,305",$0,$0,$0,$0,CHA
JT Thor,"$1,563,518","$1,836,096","$1,988,598",$0,$0,CHA
LiAngelo Ball,"$1,017,781",$0,$0,$0,$0,CHA
Jalen Crutcher,"$1,017,781",$0,$0,$0,$0,CHA
Anthony Duruji,"$1,017,781",$0,$0,$0,$0,CHA
Jaylen Sims,"$1,017,781",$0,$0,$0,$0,CHA
Isaiah Whaley,"$1,017,781",$0,$0,$0,$0,CHA
Bryce McGowens,"$508,891","$1,761,752",$0,$0,$0,CHA
Zach LaVine,"$37,096,500","$40,064,220","$43,031,940","$45,999,660","$48,967,380",CHI
DeMar DeRozan,"$27,300,000","$28,600,000",$0,$0,$0,CHI
Nikola Vucevic,"$22,000,000",$0,$0,$0,$0,CHI
Lonzo Ball,"$19,534,884","$20,465,117","$21,395,348",$0,$0,CHI
Alex Caruso,"$9,030,000","$9,460,000","$9,890,000",$0,$0,CHI
Patrick Williams,"$7,775,400","$9,835,881","$12,973,527",$0,$0,CHI
Coby White,"$7,413,955","$9,942,113",$0,$0,$0,CHI
Andre Drummond,"$3,200,000","$3,360,000",$0,$0,$0,CHI
Derrick Jones,"$3,200,000","$3,360,000",$0,$0,$0,CHI
Dalen Terry,"$3,191,400","$3,350,760","$3,510,480","$5,399,118","$7,661,349",CHI
