PLAYER,2023/24,2024/25,2025/26,2026/27,2027/28,TEAM
Trae Young,"$40,064,220","$43,031,940","$45,999,660","$48,967,380",$0,ATL
Clint Capela,"$20,616,000","$22,265,280",$0,$0,$0,ATL
De'Andre Hunter,"$20,089,286","$21,696,429","$23,303,571","$24,910,714",$0,ATL
Bogdan Bogdanovic,"$18,700,000","$17,260,000","$16,020,000","$16,020,000",$0,ATL
Dejounte Murray,"$18,214,000","$25,499,599","$27,539,568","$29,523,536","$31,507,504",ATL
Onyeka Okongwu,"$8,109,063","$10,817,490",$0,$0,$0,ATL
Patrick Mills,"$6,802,950",$0,$0,$0,$0,ATL
Saddiq Bey,"$4,556,983","$6,498,258",$0,$0,$0,ATL
Kobe Bufkin,"$4,094,244","$4,298,956","$4,503,668","$6,904,124","$10,342,377",ATL
AJ Griffin,"$3,712,920","$3,889,920","$5,967,137","$8,383,828",$0,ATL
Wesley Matthews,"$3,196,448",$0,$0,$0,$0,ATL
Jalen Johnson,"$2,925,360","$4,510,905","$6,464,127",$0,$0,ATL
Bruno Fernando,"$2,581,522","$2,717,391","$2,853,260",$0,$0,ATL
Garrison Mathews,"$2,000,000","$2,230,253",$0,$0,$0,ATL
Mouhamed Gueye,"$1,119,563","$1,891,857","$2,221,677","$2,406,205",$0,ATL
Trent Forrest,"$559,782",$0,$0,$0,$0,ATL
Seth Lundy,"$559,782",$0,$0,$0,$0,ATL
Miles Norris,"$559,782",$0,$0,$0,$0,ATL
Jrue Holiday,"$36,861,707","$39,403,894",$0,$0,$0,BOS
Kristaps Porzingis,"$36,016,200","$29,268,293","$30,731,707",$0,$0,BOS
Jayson Tatum,"$32,600,060","$34,848,340","$37,096,620",$0,$0,BOS
Jaylen Brown,"$31,830,357","$52,150,000","$56,322,000","$60,494,000","$64,666,000",BOS
Derrick White,"$18,357,143","$19,571,429",$0,$0,$0,BOS
Al Horford,"$10,000,000","$9,500,000",$0,$0,$0,BOS
Payton Pritchard,"$4,037,277","$5,959,021",$0,$0,$0,BOS
Luke Kornet,"$2,413,304",$0,$0,$0,$0,BOS
Sviatoslav Mykhailiuk,"$2,346,614",$0,$0,$0,$0,BOS
Oshae Brissett,"$2,165,000","$2,463,946",$0,$0,$0,BOS
Lamar Stevens,"$2,092,354",$0,$0,$0,$0,BOS
Dalano Banton,"$2,019,706","$2,196,970",$0,$0,$0,BOS
Sam Hauser,"$1,927,896","$2,092,344",$0,$0,$0,BOS
Taylor Funk,"$1,119,563",$0,$0,$0,$0,BOS
Jordan Walsh,"$1,119,563","$1,891,857","$2,221,677","$2,406,205",$0,BOS
JD Davison,"$559,782",$0,$0,$0,$0,BOS
Neemias Queta,"$559,782",$0,$0,$0,$0,BOS
Jay Scrubb,"$559,782",$0,$0,$0,$0,BOS
Demetrius Jackson,"$92,857",$0,$0,$0,$0,BOS
Ben Simmons,"$37,893,408","$40,338,144",$0,$0,$0,BKN
Cameron Johnson,"$25,679,348","$23,625,000","$21,570,652","$23,625,000",$0,BKN
Mikal Bridges,"$21,700,000","$23,300,000","$24,900,000",$0,$0,BKN
Spencer Dinwiddie,"$20,357,143",$0,$0,$0,$0,BKN
Dorian Finney-Smith,"$13,932,008","$14,924,167","$15,378,480",$0,$0,BKN
Nicolas Claxton,"$9,625,000",$0,$0,$0,$0,BKN
Royce O'Neale,"$9,500,000",$0,$0,$0,$0,BKN
Noah Clowney,"$3,089,460","$3,243,933","$3,398,406","$5,413,661","$8,342,451",BKN
Dariq Whitehead,"$2,966,040","$3,114,342","$3,262,644","$5,367,049","$8,308,191",BKN
Dennis Smith,"$2,528,233",$0,$0,$0,$0,BKN
Lonnie Walker,"$2,346,614",$0,$0,$0,$0,BKN
Cam Thomas,"$2,240,160","$4,041,249","$5,993,172",$0,$0,BKN
Day'Ron Sharpe,"$2,210,040","$3,989,122","$5,983,683",$0,$0,BKN
Darius Bazley,"$2,165,000",$0,$0,$0,$0,BKN
Harry Giles,"$2,165,000",$0,$0,$0,$0,BKN
Trendon Watford,"$2,019,706",$0,$0,$0,$0,BKN
Kyler Edwards,"$1,119,563",$0,$0,$0,$0,BKN
